transaction_hash,block_number,sandwich_id,transaction_log_index,type,sandwicher,victim,profit_raw,profit_amount_in_usd,cost_in_usd,protocols
0x004ad24f24ed764cb1486294c510449bb26d9e3a76f628b78469c388c5f9e9ff,21519274,0x6157f5e5636667a7563194ba4bb5176bc2393d949372a250371243ccb423fc98,3,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""37768665032716653"",""additionalAmount"":-2639641866604}]",126.95150641228886,151.8560411540019,{UniswapV3}
0x0d5fecd0dea0c78cefa6cf9a7f7a287103b76a474d049cb9d5dd53d4fee5ec00,21519274,0x6157f5e5636667a7563194ba4bb5176bc2393d949372a250371243ccb423fc98,7,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""37768665032716653"",""additionalAmount"":-2639641866604}]",126.95150641228886,151.8560411540019,{UniswapV3}
0x9a1bd3b2f40dbafaf95a46cbaea994b177681494194909412f7d8c5d058fad67,21519274,0x6157f5e5636667a7563194ba4bb5176bc2393d949372a250371243ccb423fc98,15,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""37768665032716653"",""additionalAmount"":-2639641866604}]",126.95150641228886,151.8560411540019,{UniswapV3}
0x97e35181e939f759250ff4380b44b892bbb1c230a3ad9b68bd25175dac77c140,21519275,0xb56ef3236ab18e67657e37f4390d8b9b9b7386102e87ee60cf56c89790e8e6dd,0,front,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""69862752117587968"",""additionalAmount"":""-62334499081420800""}]",234.82910014831856,42.99198444057596,{SushiSwap}
0x2faef448a7b365dfd724497269028e38e12a9f53577a32c8d9dc19f87967a30f,21519275,0xb56ef3236ab18e67657e37f4390d8b9b9b7386102e87ee60cf56c89790e8e6dd,1,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""69862752117587968"",""additionalAmount"":""-62334499081420800""}]",234.82910014831856,42.99198444057596,{SushiSwap}
0x50e812f4dca100936ff9b28fa3a3fb69fb031d14e238ee1c011a5484016c2c75,21519275,0xb56ef3236ab18e67657e37f4390d8b9b9b7386102e87ee60cf56c89790e8e6dd,5,back,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""69862752117587968"",""additionalAmount"":""-62334499081420800""}]",234.82910014831856,42.99198444057596,{SushiSwap}
0x7ef164bf1b08d994595b9742e5db190863a1ade924e6f1381d3a851a211ce292,21519275,0x15d76cef7fc290315c4ee5f4c679bf3f76f25a484d4d151acea41b6280c4fb77,2,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""69862752117587968"",""additionalAmount"":""-62334499081420800""}]",234.82910014831856,42.99198444057596,{SushiSwap}
0x052eee15a7a0358d3af675d90d3c4c17db24c12151820f5d529b82c195d6f4a7,21519275,0xfde58ddf88e20c4b422b72182e0c6281154a7483dff6150bc36f15f30df4e578,3,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""69862752117587968"",""additionalAmount"":""-62334499081420800""}]",234.82910014831856,42.99198444057596,{SushiSwap}
0xa0858297fc20db5ec9bbc98df146682b3a366c87679540cb05c2db33061bb853,21519276,0x6d1abdff9c12a4e6dfc1b4db02589b3e2b32a9fe016cdbca2a74e22d30ec9ac1,2,front,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1"",""amount"":""176811586927722496"",""additionalAmount"":""-172978680803360768""}]",0.00000006824927255410088,25.61408271229515,{UniswapV2}
0xbc64e999986f11b98c3e9cf1de2156d73f427cbd049d3dac234d6b8230488db9,21519276,0x6d1abdff9c12a4e6dfc1b4db02589b3e2b32a9fe016cdbca2a74e22d30ec9ac1,3,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1"",""amount"":""176811586927722496"",""additionalAmount"":""-172978680803360768""}]",0.00000006824927255410088,25.61408271229515,{UniswapV2}
0xf17954d2a5b168ec70976b6e652af26b9a1f290c762eec3af0d252cb61517e6c,21519276,0x6d1abdff9c12a4e6dfc1b4db02589b3e2b32a9fe016cdbca2a74e22d30ec9ac1,5,back,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1"",""amount"":""176811586927722496"",""additionalAmount"":""-172978680803360768""}]",0.00000006824927255410088,25.61408271229515,{UniswapV2}
0x5c775065a01c9024f41f2b9fd4f89840910add7b0e410bf3a44bf90c9df6b36b,21519277,0xa3bd38584f32fc7a2b3c332a969364ec6c3a29ff00e2cb7cbae3d0f2a725425a,4,front,0x1f2f10d1c40777ae1da742455c65828ff36df387,,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""9460237757054976"",""additionalAmount"":""-3013792493469696""}]",31.79862018517725,21.61657714816148,{UniswapV2}
0x533efb3a06388ff4ddee586e1a8fab3cde5fede8562d94002d0c35d86f4edb19,21519277,0xa3bd38584f32fc7a2b3c332a969364ec6c3a29ff00e2cb7cbae3d0f2a725425a,5,victim,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,"[{""address"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""amount"":""9460237757054976"",""additionalAmount"":""-3013792493469696""}]",31.79862018517725,21.61657714816148,{UniswapV2}
